text,labels,confidence,source,iab_label
game thrones preseason marathon,,0.5,natural,IAB17 Sports
"However, sailing remained a popular sport, and in the 20th century, new technologies such as the fiberglass boat made sailing more accessible to more people.",,0.5,synthetic,IAB17 Sports
ultimate wrestler died heart disease authorities,,0.5,natural,IAB17 Sports
jp runners prepare boston marathon,,0.5,natural,IAB17 Sports
texas huntercheerleader gun facebook photos,,0.5,natural,IAB17 Sports
prince george cheers prince william fathers day polo match,,0.5,natural,IAB17 Sports
peter dinklage performance wows game thrones viewers spurs,,0.5,natural,IAB17 Sports
report details worst issues ps4 xbox one wii u,,0.5,natural,IAB17 Sports
"Key figures in the sport include Jacques Cousteau, Hans Hass, and Sylvia Earle, who have made significant contributions to underwater exploration and conservation.",,0.5,synthetic,IAB17 Sports
jessica simpson marries footballstar fiancé,,0.5,natural,IAB17 Sports
The objective of the game is to score points by grounding the ball on the opponent's court while preventing the opponent from doing the same.,,0.5,synthetic,IAB17 Sports
game thrones catchup season 4 scoop whats next house,,0.5,natural,IAB17 Sports
iss astronauts play zero gravity soccer celebrate world cup,,0.5,natural,IAB17 Sports
trending patent office cancels redskins trademark,,0.49,natural,IAB17 Sports
floyd mayweather ti brawl las vegas watch crazy footage,,0.49,natural,IAB17 Sports
couple gets honorary bat boy bat girl reds game,,0.49,natural,IAB17 Sports
sunpower nasdaq spwr teams google nasdaq goog,,0.49,natural,IAB17 Sports
google pay 1b watch gamers,,0.49,natural,IAB17 Sports
kate middleton reveals prince georges first steps prince william plays polo,,0.49,natural,IAB17 Sports
twitters cc audience size world cup ad load mopub discussed twtr,,0.49,natural,IAB17 Sports
baseball star rivera rescues church,,0.49,natural,IAB17 Sports
game thrones lion rose review jack gleeson shines,,0.49,natural,IAB17 Sports
sp 500 trades 2000 points first time,,0.49,natural,IAB17 Sports
prince harry congratulates atlantic rowers,,0.49,natural,IAB17 Sports
watch tuesday fx debuts tyrant,,0.49,natural,IAB17 Sports
meet new characters rio 2,,0.49,natural,IAB17 Sports
rihannas face watching chris brown drake espys,,0.49,natural,IAB17 Sports
brad pitt displays new tattoo rumi poem plays ball matthew,,0.49,natural,IAB17 Sports
krull baseballpassover connection,,0.49,natural,IAB17 Sports
nintendos 5 ideas save company,,0.49,natural,IAB17 Sports
zac efron somehow ended skid row got punched face,,0.49,natural,IAB17 Sports
sprint fights take tmobile,,0.49,natural,IAB17 Sports
"They are also relatively inexpensive sports to participate in, and they can be enjoyed by people of all ages and abilities.",,0.49,synthetic,IAB17 Sports
chef delicious start sxsw film,,0.49,natural,IAB17 Sports
watch ferrells epic tonight show drumoff,,0.49,natural,IAB17 Sports
10 things parents know mario kart 8,,0.49,natural,IAB17 Sports
nfl sunday ticket comes ios mac satellite subscription,,0.49,natural,IAB17 Sports
facebook buys moves see fitness activity,,0.49,natural,IAB17 Sports
87yearold als goes skydiving,,0.49,natural,IAB17 Sports
disturbing game thrones scene totally betrayed diehard fans video,,0.49,natural,IAB17 Sports
watch zac efron wiggle,,0.49,natural,IAB17 Sports
ssas hanging ecb outcome,,0.49,natural,IAB17 Sports
review amid rio 2s cacophony musical numbers shine,,0.49,natural,IAB17 Sports
Cheerleading is a popular sport that is enjoyed by millions of people around the world.,,0.49,synthetic,IAB17 Sports
lets pretend opening night jay z beyonces run,,0.49,natural,IAB17 Sports
"Future possibilities for rodeo include the expansion of the sport into new regions, the development of innovative events, and the continued focus on animal welfare.",,0.49,synthetic,IAB17 Sports
wwe nbcuniversal reach agreement raw smackdown staying put,,0.49,natural,IAB17 Sports
game thrones return ratings triumph hbo,,0.49,natural,IAB17 Sports
sp 500 tops 2000 first time ever,,0.49,natural,IAB17 Sports
"The equestrian sport is a popular form of sociology, with many sociologists studying the social impact of horses and equestrian events.",,0.49,synthetic,IAB17 Sports
watch drake disguised asked random people street,,0.49,natural,IAB17 Sports
game thrones champion,,0.49,natural,IAB17 Sports
gamesbeat community write vr win witch hundred,,0.49,natural,IAB17 Sports
"The sport's unique blend of athleticism, tradition, and entertainment has captivated audiences worldwide, making rodeo an enduring and iconic part of the sporting landscape.",,0.49,synthetic,IAB17 Sports
"The equestrian sport is a popular form of philosophy, with many philosophers having written about horses and equestrian events.",,0.49,synthetic,IAB17 Sports
"Future possibilities for hunting and shooting include the development of more sustainable practices, the integration of technology to improve safety and accuracy, and the continued growth of the sport's popularity.",,0.49,synthetic,IAB17 Sports
fifa world cup best wishes come space station,,0.49,natural,IAB17 Sports
The sport's global reach has led to the establishment of rodeo associations and events in countries around the world.,,0.49,synthetic,IAB17 Sports
washington redskins name ruled disparaging native americans,,0.49,natural,IAB17 Sports
dov charney suspended american apparel world cup bans beats,,0.49,natural,IAB17 Sports
netflix inc nflx news hastings shows love comcast neutrality,,0.49,natural,IAB17 Sports
secret making sense last nights game thrones finale,,0.49,natural,IAB17 Sports
ceo softbank owns sprint,,0.49,natural,IAB17 Sports
motogp austin marquez faster second session,,0.49,natural,IAB17 Sports
us patent office cancels washington redskins trademarks,,0.49,natural,IAB17 Sports
crickets daily 3 girls neverland,,0.49,natural,IAB17 Sports
south euclid police use backhoedump als icebucket challenge video,,0.49,natural,IAB17 Sports
"Despite the controversies, Game & Fish is a popular and important activity that is likely to continue to be enjoyed by millions of people for years to come.",,0.49,synthetic,IAB17 Sports
sportscamera company gopro officially going public,,0.49,natural,IAB17 Sports
"In the United States, freshwater fishing is a popular pastime, with over 30 million people participating each year.",,0.49,synthetic,IAB17 Sports
watch free live streaming itunes festival sxsw,,0.49,natural,IAB17 Sports
"Auto racing is a sport that is constantly evolving, with new challenges and opportunities emerging all the time.",,0.49,synthetic,IAB17 Sports
Paintball is a team sport in which players use air-powered guns to shoot paint-filled pellets at opponents.,,0.49,synthetic,IAB17 Sports
"The future of mountain biking looks promising, with continued growth expected in participation and innovation.",,0.49,synthetic,IAB17 Sports
"Snowboarding has inspired numerous films, documentaries, and video games, showcasing the sport's adrenaline-pumping action and captivating stories.",,0.48,synthetic,IAB17 Sports
us patent trademark offices appeals board cancels redskins trademark,,0.48,natural,IAB17 Sports
sxsw premieres jon favreaus chef sofia vergara robert downey jr,,0.48,natural,IAB17 Sports
sp 500 hits new record high 2000,,0.48,natural,IAB17 Sports
harrison ford may miss eight weeks star wars shooting injuring ankle,,0.48,natural,IAB17 Sports
jimmy fallon cant keep together playing face balls julia roberts,,0.48,natural,IAB17 Sports
captain america winter soldier sets april record 962m debut,,0.48,natural,IAB17 Sports
"Saltwater fishing is a popular sport that has gained a global following, with anglers from all over the world pursuing their passion for fishing in saltwater environments.",,0.48,synthetic,IAB17 Sports
grand prix americas 2014 results winner final motogp standings,,0.48,natural,IAB17 Sports
todays big releases bhoothnath returns rio 2,,0.48,natural,IAB17 Sports
astronauts celebrate world cup bicycle kicks space,,0.48,natural,IAB17 Sports
health officials warn dengue fever 2014 world cup brazil,,0.48,natural,IAB17 Sports
us patent office cancels federal trademark washington redskins,,0.48,natural,IAB17 Sports
twitter revenues double world cup boost,,0.48,natural,IAB17 Sports
duchess cambridge wimbledon july 2,,0.48,natural,IAB17 Sports
latest south carolina news sports business entertainment,,0.48,natural,IAB17 Sports
bachelorette contestant eric hill dies paragliding crash,,0.48,natural,IAB17 Sports
watch als ice bucket challenge horse fail,,0.48,natural,IAB17 Sports
pippa middleton kicks bike race across 12 states brother james,,0.48,natural,IAB17 Sports
bachelorette contestant byu grad eric hill dies utah paragliding,,0.48,natural,IAB17 Sports
game thrones recap lion rose 42,,0.48,natural,IAB17 Sports
mauer still could go disabled list,,0.48,natural,IAB17 Sports
keyc mankato news weather sports new research bacteria linger,,0.48,natural,IAB17 Sports
batman vs superman detroit batmobile photo teased zack snyder,,0.48,natural,IAB17 Sports
longlost atari et game finally excavated landfill,,0.48,natural,IAB17 Sports
captain america 3 batman vs superman scheduled come,,0.48,natural,IAB17 Sports
19052014russian football barons exwife wins 448bn divorce payout report,,0.48,natural,IAB17 Sports
wwe news wwe superstars getting wrestlemania 30 pay several,,0.48,natural,IAB17 Sports
labour unrest nike adidas supplier yue yuen industrial persists,,0.48,natural,IAB17 Sports
Waterskiing and wakeboarding are two popular water sports that involve being towed behind a boat.,,0.48,synthetic,IAB17 Sports
doctors say oscar pistorius mentally stable time shooting,,0.48,natural,IAB17 Sports
live sxsw 2014 oregonian,,0.48,natural,IAB17 Sports
spencer theyre putting gaming person head xbox,,0.48,natural,IAB17 Sports
game thrones recap lion rose makes revenge feel oh,,0.48,natural,IAB17 Sports
michael keaton bursts oscar race birdman,,0.48,natural,IAB17 Sports
mad men premiere ratings tumble game thrones stays hot,,0.48,natural,IAB17 Sports
lets watch shirtless zac efron backflipping boat,,0.48,natural,IAB17 Sports
sp 500 tops 2000 first time,,0.48,natural,IAB17 Sports
netflix inc nasdaqnflx opposed net neutrality fees,,0.48,natural,IAB17 Sports
nike shutting fuelband,,0.48,natural,IAB17 Sports
reds offense continues sputter 15 inning loss,,0.48,natural,IAB17 Sports
nike lays fuelband staff,,0.48,natural,IAB17 Sports
Fly fishing is a great way to relax and enjoy the outdoors.,,0.48,synthetic,IAB17 Sports
justin bieber young racist according floyd mayweather jnr boxer,,0.48,natural,IAB17 Sports
im sleeping girl floyd mayweather speaks ti fight,,0.48,natural,IAB17 Sports
sikorsky lockheed win big us helicopter deal,,0.48,natural,IAB17 Sports
ruler world favourite dubai world cup,,0.48,natural,IAB17 Sports
kevin costner plays catch sons field dreams video,,0.48,natural,IAB17 Sports
game thrones 42 lion rose,,0.48,natural,IAB17 Sports
hess sell retail operations marathons speedway forming nations largest,,0.48,natural,IAB17 Sports
breaking bad star bryan cranston helps fan get prom date video,,0.48,natural,IAB17 Sports
phil spencer new head xbox,,0.48,natural,IAB17 Sports
The object of the game is to score more goals than the other team by kicking the ball into the opponent's net.,,0.48,synthetic,IAB17 Sports
gms recall tally tops 20 mil,,0.48,natural,IAB17 Sports
batman becomes latest blockbuster game suffer delays,,0.48,natural,IAB17 Sports
motogp riders take tricky circuit americas weekend,,0.48,natural,IAB17 Sports
"If you are looking for a fun and challenging sport to try, cheerleading is a great option.",,0.48,synthetic,IAB17 Sports
"Climbing competitions have become increasingly popular, with events such as the IFSC Climbing World Championships and the Olympics showcasing the skills and athleticism of top climbers.",,0.48,synthetic,IAB17 Sports
"Hunting and shooting enthusiasts often advocate for responsible practices, including ethical hunting, wildlife conservation, and firearm safety.",,0.48,synthetic,IAB17 Sports
us government sent strong message washington redskins,,0.48,natural,IAB17 Sports
moto gp world champion marc marquez takes pole position grand prix,,0.48,natural,IAB17 Sports
"The game is played on a field with a rectangular pitch in the center, with a wicket at each end.",,0.48,synthetic,IAB17 Sports
marquez storms victory texas,,0.47,natural,IAB17 Sports
bachelorette contestant eric hill dies paragliding utah,,0.47,natural,IAB17 Sports
batman vs superman batmobile teased zack snyder picture,,0.47,natural,IAB17 Sports
lorde meets baseball player inspired royals,,0.47,natural,IAB17 Sports
homer simpson takes ice bucket challenge quickly regrets,,0.47,natural,IAB17 Sports
footage worlds tallest waterslide test run make wet,,0.47,natural,IAB17 Sports
amid angry protests world cup party goes coke budweiser,,0.47,natural,IAB17 Sports
Pickup trucks have played a significant role in the development of off-roading and adventure sports.,,0.47,synthetic,IAB17 Sports
video ricky martin opens dwts new world cup song vida,,0.47,natural,IAB17 Sports
